scenario,region,tenor,2025,2030,2035,2040,2045
Current Policies,MEA,20Y,-29.534816950701405,-33.70479594189053,-39.273169736963474,-45.135295516090174,-50.63606267446954
Current Policies,AFR,1D,-46.85233620749983,-53.4402900171526,-62.28376090087879,-71.58302329826236,-80.3089295759492
Current Policies,AFR,1M,-46.77689869593223,-53.354245161705265,-62.183477066309166,-71.46776660915747,-80.17962319991204
Current Policies,AFR,3M,-46.62140795483349,-53.17689071213208,-61.97677343262047,-71.23020113764201,-79.91309871068896
Current Policies,AFR,6M,-46.389462574834624,-52.91233126048847,-61.668433832948594,-70.8758249659427,-79.51552440179434
Current Policies,AFR,1Y,-45.93017612305038,-52.38846408179332,-61.057875430455006,-70.17410728354065,-78.72826796386191
Current Policies,AFR,5Y,-42.466765365404314,-48.43805967682569,-56.453745412788386,-64.8825587072213,-72.79168436648177
Current Policies,AFR,10Y,-38.61780607690386,-44.04789437683469,-51.33708145433663,-59.001952429605474,-66.19423746283306
Current Policies,AFR,20Y,-32.252047812084726,-36.78704048164376,-42.87467812907147,-49.27607194920561,-55.28278088310669
Current Policies,ROW,1D,-33.19554478631189,-37.83008789763761,-44.132634586668274,-50.7211553103171,-56.903277166906065
Current Policies,ROW,1M,-33.14209623931268,-37.769177216882184,-44.06157609948003,-50.639488566454055,-56.81165651408523
Current Policies,ROW,3M,-33.031928843664765,-37.64362897576603,-43.91511134203165,-50.471158219090846,-56.62280930914663
Current Policies,ROW,6M,-32.86759225187497,-37.45634879246957,-43.69663001264349,-50.220060011515244,-56.341106126039485
Current Policies,ROW,1Y,-32.54218128597505,-37.0855060928816,-43.26400438950631,-49.72284810409398,-55.78329180170916
Current Policies,ROW,5Y,-30.0883056369646,-34.289036503678886,-40.00163897161574,-45.97344713155786,-51.57689702531313
Current Policies,ROW,10Y,-27.36126338497855,-31.18126259132715,-36.376105485600114,-41.806661061584485,-46.90224438413662
Current Policies,ROW,20Y,-22.851033358395313,-26.041343983497466,-30.379869094652435,-34.915252014491095,-39.17087949944295
Delayed transition,EU27,1D,-28.700244393390925,-32.84335410883491,-35.6548672503403,-42.929320717846764,-47.399462335511046
Delayed transition,EU27,1M,-28.654033783767737,-32.79047262829292,-35.597458918582284,-42.86019970083069,-47.3231438895664
Delayed transition,EU27,3M,-28.558785123152834,-32.68147406207556,-35.47912967011152,-42.717728429735025,-47.16583737888165
Delayed transition,EU27,6M,-28.41670279320448,-32.518881011955855,-35.30261805078558,-42.50520417986848,-46.931183417242224
Delayed transition,EU27,1Y,-28.13535858542789,-32.19692251864756,-34.9530987142103,-42.08437446280409,-46.466533569769446
Delayed transition,EU27,5Y,-26.013783799083942,-29.769081451471287,-32.31742543101757,-38.91096021651879,-42.96267824369992
Delayed transition,EU27,10Y,-23.656034299657865,-27.07097196333707,-29.388347745848044,-35.38427998878829,-39.068772078205676
Delayed transition,EU27,20Y,-19.756574150212597,-22.60859356801534,-24.54397317987814,-29.55153608990541,-32.62867658811221
Delayed transition,CHN,1D,-39.199124465750124,-44.722099691386404,-51.33337164882792,-59.63106169021541,-64.69058482859607
Delayed transition,CHN,1M,-39.13600948270578,-44.65009209932409,-51.25071916805489,-59.53504899863647,-64.5864257377941
Delayed transition,CHN,3M,-39.00591776461924,-44.50167106021713,-51.080357033594325,-59.33714898499249,-64.37173448029604
Delayed transition,CHN,6M,-38.81186008135743,-44.28027154747298,-50.82622801127667,-59.04194173636742,-64.05147975032988
Delayed transition,CHN,1Y,-38.42759692083563,-43.84186748598435,-50.32301463855826,-58.45738734790466,-63.41732761246875
Delayed transition,CHN,5Y,-35.5299256336725,-40.53592772473776,-46.52835750967139,-54.04934972875412,-58.63528074886091
Delayed transition,CHN,10Y,-32.30968420226693,-36.86196917876346,-42.3112773465231,-49.15060726777608,-53.320894156657324
Delayed transition,CHN,20Y,-26.983756602063732,-30.785643027818253,-35.33668736263558,-41.04862229709569,-44.53147919120467
