scenario,region,tenor,2025,2030,2035,2040,2045
Current Policies,CHL,1D,-32.88911116399141,-36.86856890182317,-43.75234082422105,-50.28023320049049,-56.40572715094059
Current Policies,CHL,6M,-32.56418601421478,-36.50432904101507,-43.32009332976908,-49.78349395381364,-55.84847161273546
Current Policies,CHL,1Y,-32.2417789713312,-36.142911968485585,-42.8911956695667,-49.290604339958236,-55.295534696874284
Current Policies,CHL,5Y,-29.810555458584545,-33.41751962971146,-39.65694226517515,-45.57379713973038,-51.125919731630674
Current Policies,CHL,10Y,-27.1086869894322,-30.388735321071675,-36.062650235356,-41.44323319628249,-46.49214124765654
Current Policies,CHL,20Y,-22.640091650077068,-25.379456890228653,-30.118083800643507,-34.61173159014016,-38.82837775454056
Current Policies,AUS,1D,-27.827019332947966,-31.750898687127222,-36.9658827300836,-42.48881232766369,-47.671428789642626
Current Policies,AUS,6M,-27.55210468476817,-31.437218409785093,-36.60068146566489,-42.06904775450272,-47.20046300214215
Current Policies,AUS,1Y,-27.279320571793335,-31.12596909375552,-36.23831044021632,-41.65253627537233,-46.73314710815316
Current Policies,AUS,5Y,-25.222296185984167,-28.778884338132936,-33.50572448449699,-38.511685218479265,-43.209187522206676
Current Policies,AUS,10Y,-22.936282868345444,-26.170520992518323,-30.46894576205628,-35.02119312985348,-39.29293908107533
Current Policies,AUS,20Y,-19.155466528270605,-21.856572914499935,-25.446445443967626,-29.248300460439943,-32.81589190738866
Current Policies,SGP,1D,-32.35527376943436,-36.72805012302897,-42.99904716039826,-49.421382134721554,-55.44498506866461
Current Policies,SGP,6M,-32.03562262036023,-36.36519850543056,-42.57424176601774,-48.93312783340515,-54.89722109936882
Current Policies,SGP,1Y,-31.718448705696545,-36.00515891749514,-42.15272853105462,-48.448657408229295,-54.35370219459878
Current Policies,SGP,5Y,-29.326687433785743,-33.290153984974815,-38.97415997805224,-44.79533805644567,-50.25510704890785
Current Policies,SGP,10Y,-26.668674160865855,-30.27291341358761,-35.44175166373233,-40.735329458891094,-45.70025434453737
Current Policies,SGP,20Y,-22.27261052604346,-25.28272706330829,-29.59953413527455,-34.02051868852596,-38.16702547030405
Current Policies,TUR,1D,-37.50884913197358,-42.804670437556396,-49.87643570153127,-57.32126232120988,-64.30716799985898
Current Policies,TUR,6M,-37.13828367760829,-42.38178537131936,-49.383685737573984,-56.75496183190096,-63.671850855230836
Current Policies,TUR,1Y,-36.77059003364487,-41.96217758232905,-48.894754490270785,-56.19305006155281,-63.04145729525674
Current Policies,TUR,5Y,-33.99786700409815,-38.79797771373858,-45.20779674291999,-51.95575705473469,-58.28775330794495
Current Policies,TUR,10Y,-30.916483129704236,-35.28153761260525,-41.11040510762359,-47.24676657744713,-53.00486473449116
Current Policies,TUR,20Y,-25.820210762233824,-29.465729764647477,-34.333766875954815,-39.4586106623383,-44.26754405171407
Current Policies,KOR,1D,-32.24259682421736,-36.54419755969214,-42.84227393837532,-49.24235760587729,-55.24427754488871
Current Policies,KOR,6M,-31.924058857348676,-36.183162297707014,-42.4190173715807,-48.75587196202196,-54.69849644834065
Current Policies,KOR,1Y,-31.607989497944253,-35.82492498898116,-41.99904096109008,-48.27315648755488,-54.15694504943912
Current Policies,KOR,5Y,-29.224557512805294,-33.12351077566984,-38.8320613726435,-44.633070957801735,-50.07318657259449
Current Policies,KOR,10Y,-26.575800746817578,-30.121373848810318,-35.312532111919154,-40.58776937763287,-45.534822162094514
Current Policies,KOR,20Y,-22.19504636342916,-25.156167276900778,-29.491615131407897,-33.89728240766582,-38.028863125007184
Current Policies,KAZ,1D,-34.36744147803234,-38.971746806756336,-45.68439351411869,-52.505707659633224,-58.90653600116103
Current Policies,KAZ,6M,-34.027911290852494,-38.58672878042226,-45.23305847100932,-51.98698202912387,-58.32457393664787
